Chinese,English
的,of
我,I
你,you
他,he
她,she
是,is
了,past particle
不,not
在,at
有,have
我们,we
好,good
这,this
那,that
就,then
人,person
都,all
一,one
大,big
上,on
来,come
个,individual
到,arrive
要,want
和,and
也,also
说,say
去,go
看,look
得,must
很,very
对,correct
中,center
多,many
自己,self
会,can
想,think
没有,none
时候,time
能,able to
下,down
给,give
她们,they (female)
他们,they
什么,what
已经,already
怎么,how
现在,now
因为,because
让,let
还是,or
哪里,where
中国,China
事情,thing
时间,time
先生,mr
知道,know
可以,can
妈妈,mom
爸爸,dad
朋友,friend
大家,everyone
觉得,feel
喜欢,like
工作,work
东西,thing
孩子,child
家,home
学校,school
所以,therefore
钱,money
但是,but
为什么,why
昨天,yesterday
今天,today
明天,tomorrow
小时,hour
走,walk
吃,eat
喝,drink
住,live
听,listen
读,read
写,write
老师,teacher
学生,student
开,open
关,close
车,car
水,water
书,book
爱,love
电话,telephone
电影,movie
音乐,music
身体,body
病,illness
高兴,happy
快乐,happy
快,fast
慢,slow
长,long
短,short
