,French,English
0,histoire,history
1,seulement,only
2,police,police
3,aide,help
4,demande,request
5,frère,brother
6,car,because
7,aucun,no
8,laisse,leash
9,eux,them
10,ville,city
11,chaque,each
12,parlé,speak
13,arrivé,come
14,devrait,should
15,longtemps,long time
16,heures,hours
17,vont,will
18,pendant,while
19,revoir,meet again
20,aucune,any
21,place,square
22,parle,speak
23,compris,understood
24,savais,knew
25,étaient,were
26,attention,Warning
27,type,type
28,leurs,their
29,donné,given
30,endroit,place
31,dont,whose
32,perdu,lost
33,côté,side
34,pouvoir,power
35,vieux,old
36,tellement,so much
37,enfant,child
38,point,point
39,venu,came
40,pardon,sorry
41,minutes,minutes
42,belle,beautiful
43,droit,law
44,aujourd'hui,today
45,mari,husband
46,espère,hope
47,eau,water
48,nouvelle,new
49,boulot,job
50,dirait,would say
51,terre,Earth
52,donne,given
53,loin,far
54,fin,end
55,croire,believe
56,gros,large
57,plutôt,rather
58,aura,will have
59,jouer,to play
60,bureau,office
